昵称,评论内容,评论时间
vin,好难看 好难看 喜剧片搞什么情怀啊 我最烦上价值的喜剧片 讲什么大道理 春节的喜剧不就是让人开心的吗 中间以为看了抗战片 。 。 最后在燃什么呢？自己感动自己？不物化女性不能上映是吧 “妹妹等你呢” 。把妹妹和土地都给你 贱不贱 太恶心了老登味太强了 好烂的一个片子 。 好久没看到如此之烂的东西了 刻意卖腐 我真的吐了 两个丑货 卖什么 想分两条线叙事 哪一条线都跟屎一样臭呀 一点不好笑 一点不好看 以为是文化大融合 实则是一顿发臭的发烂的泔水烩菜 过年拍出这种片子来恶心观众 坏透了,2025-01-29 11:22:19
UglyBerry,跳出《唐人街探案》系列，做了新的叙事方式。虽然都是“唐探”，但这个系列的意思已经变为“唐人街神探”了，在这个叙事口之下，讲各种故事。,2025-01-29 18:24:27
Pe4ch,被骗来看了个反美大背景下的主旋律电影，受众仅为离岸品客。这个电影最最诡异的地方还在于，拍给中国人看告诉美国人要感恩在美华人,2025-01-29 11:29:42
Han’,小岳岳以后还是演电影，别说相声了,2025-01-29 18:41:28
椰汁西米露,给个四星拉一下分，没有唐探3的黄色烂梗，骂陈思诚还是有用，不管他是不是投机主义者，至少他有听取观众意见。1900相比唐探系列，内容没那么搞笑，会比较沉重，说的是那段清末华工血泪史，全片最高光角色是周润发，最高光戏份给了周润发和岳云鹏。瓣某些评论也挺搞笑的，爱国主义教育电影怎么变成宣传民粹呢？,2025-01-29 21:38:06
Gittes,陈思诚拿AI写的剧本吗？白振邦是要爱情还是要革命？费扬古怎么抓着抓着革命党突然开始救中国了？为什么半个女角色都没有？能不能不要再靠男角色片尾演讲强行上价值了？我要去看致命id洗洗眼睛。有白客战损不错。,2025-01-29 22:44:17
梦醒时分,新·澳门风云,2025-01-29 11:23:47
朱熠,太可怕了，之前一直不理解这部唐探为啥要放在1900，看完才明白陈思诚不仅继续辱女，辱印第安人，还精准踩中了中美关系的流量，学会用华工血泪史操弄民族情绪了！,2025-01-29 20:13:39
徐若风,最后半小时看得很提气，发哥掷地有声的演讲，把全片的历史表达都提了一层。“唐探”系列直到这部才揭示出，唐人街的源起里有着民族的屈辱与伤痛。对华人长达百年的偏见与歧视，在1900那个关键节点达到顶峰。几起案中案，与当时缺失的公正平等有关，更指向权力与资本的关系。整体格局和制作水平，都比上一部进步了不少。不得不说，陈思诚把这个主题拎出来，挺有家国情怀的，也为系列注入了新活力。系列不停产出是很难的一件事，创造这样新分支的可能性，更是难上加难。,2025-01-29 22:18:53
东东的奇妙树洞,这两颗星给的周润发，他的演技和英语口语适合去演讲述真正剖析并展示第一代华人移民在美的苦难与无奈的剧情电影，而不是在这种悬疑部分极少搞笑部分硬尬煽情部分生硬的圈钱片里贡献演技。印第安人部分极为刻板印象且走马观花般硬搬部落元素，然而对剧情推动为零；全是女性受害者暂且不提，又在搞什么无比男凝的恋爱背景和剧情推动所需的悬疑元素，每年电影都要搞一波是吧？我若真要了解华人工人群体和唐人街历史我可以去读移民文学和历史书，我若真想看悬疑推理电影我可以在私人影院选经典电影安心享受，所所以这电影最起码不是我所需要的期待的享受的，自然电影零星发哥两星就是我最后的态度。,2025-01-29 17:23:02
生如夏花,利用偏狭，制造对立，鼓励仇恨,2025-01-29 11:29:28
adnen,2025年坐在美国电影院看完这部片子，很微妙的感觉。 其实和一百年前好像没什么不同。,2025-01-31 09:54:30
壹安²,家国仇恨，落叶归根，发哥撑起一半，脱下西装，重新穿上马褂的周润发你可千万不能错过啊！！,2025-01-29 12:44:32
柯里昂,大型剧本杀，劣质cosplay，妥妥的三流电视剧质感，徐峥可以把「人在囧途」系列玩坏，陈思诚当然也可以把「唐探」系列玩坏，毕竟你俩属实是气味相投的一类人。,2025-01-29 11:35:08
米娅酱,对我这种上价值敏感星人来说，这个价值上得一点都不生硬，没有一点说教味，就已经值四星了。也不缺笑点和探案，值得一看。,2025-01-30 11:38:57
刘小黛,本以为是唐人街探案续集，其实是十年约定系列前传。密集的反转和新故事线，让影片整体观感节奏紧张烧脑，细节还原，但又浅显易懂，属于老龄观众无障碍系列。陈思诚依旧懂得抓人心，制作也是好莱坞商业水准，90年代唐人街风貌，致命魔术，开膛手杰克，音效增分。约翰库萨克的加入十分迷影情怀，断臂太保为首代表的海外中国劳工群像，惹人泪目，看到旁边大叔偷偷抹眼泪。为数不多历史和虚构结合，美国工业革命华人淘金客种族矛盾，关注到华人劳工群体，交叉蒙太奇。国弱无人权，如果这里足够好，谁愿意去那头。周润发慷慨激昂的满江红陈词，喜剧的内核是悲剧，沉浸在断崖式悲痛中，迎来新年新希望。,2025-01-29 22:17:57
